feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,intervention_0,intervention_1,intervention_2,intervention_3,real_pred_inter0,real_pred_inter1,real_pred_inter2,real_pred_inter3,target
-0.9,-0.7,0.5,1.0,3.1,3.9,0.7,0.2,0.0,-0.5,-1.4,-0.6,2.0,1.9,1.2,-5.1,2.6,-5.9,-3.2,-7.0,1.0,0.0,0.0,0.0,0.30353602997548673,0.5,0.5,0.26032574799980013,0
2.8,6.6,8.8,6.0,5.3,4.0,16.3,21.6,5.6,5.3,10.5,6.9,5.7,5.6,1.9,-3.5,-4.4,-1.6,-0.3,-8.7,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.3122489848194313,1
60.6,51.9,1.7,18.2,12.6,5.6,0.6,3.9,118.5,87.2,27.9,33.1,16.8,20.8,0.9,3.8,-2.4,-0.3,6.3,-3.3,0.0,0.0,1.0,0.0,0.0006409395474483149,0.8752884628553272,0.006587261702970759,0.021395341391485707,0
7.5,6.6,-1.4,2.7,2.3,0.1,1.2,1.6,6.6,8.4,1.9,2.6,5.7,4.2,-4.1,-3.0,2.6,10.0,-3.8,-1.4,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
-0.4,-0.2,2.6,-0.5,-0.5,1.2,-2.2,0.7,0.9,0.8,-0.1,0.7,-0.6,-0.0,3.8,4.8,-3.0,-2.0,3.1,0.1,1.0,0.0,0.0,0.0,0.3926075153685005,0.39559166199467205,0.3144914992754308,0.4452048337899842,0
12.9,14.8,3.9,4.2,5.9,3.4,2.2,9.8,15.2,17.9,7.4,11.2,5.8,8.1,3.2,-2.9,-3.7,1.2,1.3,3.1,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
0.7,-0.2,15.5,5.9,42.7,125.8,15.1,8.0,7.1,35.4,1.4,14.3,22.3,34.8,-5.1,6.3,3.3,-3.2,2.0,0.8,0.0,0.0,1.0,0.0,0.33313548646236846,0.9595988262732834,0.14005829106936238,0.9902786524308745,0
6.1,5.7,-1.0,0.6,3.9,1.4,0.9,0.7,4.8,6.2,0.9,1.3,3.4,4.1,-5.7,-3.6,7.9,1.7,-5.8,0.8,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
0.7,1.5,-0.2,2.6,4.2,9.4,2.0,1.4,-0.5,1.5,-0.6,2.9,3.8,4.1,1.7,-1.4,-3.9,0.7,-3.5,3.7,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.4840981872608868,0
6.1,2.2,0.0,2.7,2.2,0.8,1.7,-0.5,11.8,14.4,2.4,1.4,2.4,4.7,-8.2,1.7,6.5,-4.3,5.6,-5.4,0.0,1.0,0.0,0.0,0.5973338039043021,0.5,0.5,0.5,0
40.8,63.4,3.7,1.9,9.0,6.6,7.8,38.1,23.8,14.2,17.7,10.7,32.6,21.4,0.8,-5.6,7.3,-6.5,-5.3,-6.2,0.0,0.0,1.0,0.0,0.7500730389707213,0.005770030847198014,0.6386503956599637,0.9937580660119772,1
4.5,6.6,0.8,-0.5,1.9,-0.4,0.8,-0.9,3.5,4.0,1.0,1.4,3.5,5.6,1.5,-3.1,7.9,-5.1,3.2,-1.8,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
2.6,3.5,-0.4,0.9,3.6,8.7,0.1,2.9,-0.3,5.4,-0.4,1.9,7.5,5.8,3.3,-1.7,3.0,6.1,-2.1,-2.3,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1
2.4,-0.0,3.9,5.7,12.5,6.8,14.1,5.0,0.4,8.1,1.7,3.3,4.0,5.2,-1.8,3.1,6.1,9.5,-1.1,-0.2,0.0,1.0,0.0,0.0,0.5,0.5,0.7167119746176883,0.23368416409854442,0
20.7,20.7,1.0,-0.4,1.3,7.3,0.2,9.1,1.8,1.2,0.9,3.2,5.4,2.9,-10.4,-0.0,1.3,-0.7,0.9,-2.5,0.0,0.0,1.0,0.0,0.11980816144134868,0.9350759104230448,0.3600719758892465,0.5,0
1.0,2.3,2.1,0.7,1.9,-1.1,-0.0,0.4,0.8,3.1,-0.2,0.6,2.5,2.0,3.8,2.9,6.8,0.0,3.3,-3.3,0.0,0.0,0.0,1.0,0.5413272030457617,0.5,0.5,0.4431422786412549,0
-0.2,0.4,0.5,-1.0,5.6,3.7,3.2,0.7,-0.3,2.9,1.3,0.3,5.3,3.0,2.1,4.0,-4.2,0.6,-2.6,-5.8,1.0,0.0,0.0,0.0,0.4941368401002909,0.5,0.5,0.39923972285870396,0
20.9,25.2,16.2,1.5,-0.7,18.1,5.6,26.7,7.7,3.5,11.0,35.2,1.7,3.5,4.5,1.3,-6.0,1.4,-1.1,1.0,0.0,1.0,0.0,0.0,0.5553572380577128,0.10527772592302878,0.9829370843410541,0.20203110683318895,0
1.5,2.2,10.1,1.1,1.4,13.9,6.2,13.5,1.7,-0.4,3.7,12.5,-1.1,0.3,1.6,-4.6,-0.7,-10.9,-2.0,6.0,0.0,0.0,1.0,0.0,0.671740210103022,0.29177032347034726,0.8548101858644401,0.3655646496029005,1
3.9,4.1,1.4,0.1,3.1,0.4,1.2,1.7,3.8,5.2,1.0,1.0,4.3,3.1,0.3,-3.3,-1.2,0.5,4.9,-0.1,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
1.6,2.1,0.2,0.6,7.6,3.8,-0.9,0.8,2.5,2.8,-0.3,-0.4,6.3,4.8,5.0,1.7,1.9,0.7,-2.9,-0.7,1.0,0.0,0.0,0.0,0.383473729861182,0.5,0.5,0.26521496505272857,0
13.5,24.8,9.6,11.4,18.9,15.7,15.8,28.0,17.2,33.4,13.2,22.8,18.6,16.7,2.9,-4.6,-1.0,-6.4,3.5,-2.4,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1
3.8,9.0,41.2,12.6,21.1,69.4,41.2,51.0,1.1,28.2,10.8,45.4,9.9,18.5,6.5,-7.4,-0.3,-4.4,6.2,2.2,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1
11.1,10.3,-0.7,0.2,2.0,1.4,0.1,4.1,6.1,6.3,1.6,4.6,2.3,5.2,0.3,1.0,-1.0,2.1,5.9,-2.6,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
2.5,1.4,1.2,-1.0,6.0,8.6,3.0,2.9,-0.7,4.5,0.8,0.8,5.5,7.3,-0.6,6.8,-0.5,-2.5,-0.7,1.9,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.4944889304790722,0
2.2,-0.3,9.5,5.4,8.9,25.3,7.2,6.6,-0.1,20.2,-0.0,14.3,3.5,9.0,-6.0,-2.8,-3.3,-0.7,-3.7,-2.7,0.0,1.0,0.0,0.0,0.10173498387237401,0.8662780256866888,0.12321560066846887,0.48645398098126896,1
1.2,-0.3,-0.4,0.1,4.4,4.0,3.3,1.7,1.6,0.7,0.5,0.2,1.4,1.8,-3.0,-2.6,-1.2,-2.3,-10.3,-0.7,0.0,0.0,1.0,0.0,0.5616736979015883,0.5163303840219156,0.30580347650691037,0.7146637480895612,0
-0.0,-0.7,-0.5,1.3,-1.7,-0.1,2.4,-1.2,2.8,0.7,-1.1,-1.0,1.5,2.2,-2.9,4.4,-7.4,-1.8,1.4,-2.1,0.0,0.0,0.0,1.0,0.5961799614532708,0.5,0.5407268490407406,0.46955432365885164,0
-0.9,0.2,-0.0,1.1,0.9,7.7,0.3,1.6,1.9,1.8,0.6,-0.8,0.6,2.0,0.6,-8.5,6.7,-6.5,4.3,2.7,1.0,0.0,0.0,0.0,0.4410302879178575,0.5,0.5,0.4200977274968346,0
0.8,0.5,3.1,0.3,4.9,1.9,-1.2,2.8,4.2,2.0,3.7,4.2,6.0,3.5,-5.9,9.9,-7.6,-10.2,9.0,-3.0,0.0,1.0,0.0,0.0,0.5,0.805033411071807,0.5,0.8826765646050961,1
20.0,26.3,-0.8,0.4,4.5,2.2,0.3,4.1,22.2,10.8,6.7,0.4,14.1,9.0,2.4,-2.5,-0.1,7.5,4.3,-10.6,0.0,0.0,1.0,0.0,0.4306948986522052,0.08623164943590449,0.15292212315850956,0.9319202225996128,0
5.0,6.3,1.1,0.4,3.0,0.4,-1.3,-0.2,2.5,4.6,-0.5,1.5,2.5,3.2,-1.4,-0.8,-5.6,-1.4,1.4,-0.2,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0
0.3,-0.2,-0.8,1.1,2.2,1.6,-0.7,-0.3,0.4,0.5,0.5,-0.1,1.1,1.1,-2.1,1.4,1.3,-5.0,0.3,-0.9,1.0,0.0,0.0,0.0,0.3904122743075517,0.4463662839251373,0.40481009960042197,0.46144177719160445,0
1.4,0.7,0.1,3.0,4.6,0.1,1.9,0.2,-1.0,0.9,-0.4,0.5,4.6,1.9,1.7,2.8,-5.1,-6.0,-4.2,-2.6,0.0,1.0,0.0,0.0,0.5,0.32280636282686054,0.3515234377299293,0.8166416850448042,0
